name,country
udon,japan
spaghetti,
penne,
fettucine,
rigatoni,
macaroni,
ravioli,
lasagne,
hiyamugi,japan
ramen,japan
sanuki udon,japan
shirataki noodles,japan
soba,japan
sōmen,japan
uanko soba,japan
yakisoba,japan
biangbiang noodles,
cellophane noodles,
chinkiang pot cover noodles,
cumian,
daoxiao noodles,
dragon beard noodles,
henan braised noodles,
hot dry noodles,
jook-sing noodles,
kaomianjin,
lai fun,
lamian,
liangpi,
migan,
misua,
mixian,
mung bean sheets,
oil noodles,
paomo,
rice vermicelli,
saang mein,
shahe fen,
shrimp roe noodles,
silver needle noodles,
yi mein,
youmian,
cup noodles,
fideo,
fried noodles,
frozen noodles,
instant noodle,
mohnnudel,
rice noodles,
schupfnudel,
